asset_id,display_name,category,slot,rarity,price_soft_life_funds,render_layer,file_path_in_zip,original_source_file,notes
amy_base_001,Amy Paper Doll Base,base,paper_doll,base,0,0,00_base/001_amy_paper_doll_base.png,stylized_character_portrait_in_pink_outfit.png,Primary bald paper doll base for the dress-up game.
amy_hair_017,Braided Updo Hairstyle with Curls,hair,hair,boutique,5600,10,01_hair/017_braided_updo_hairstyle_with_curls.png,braided_updo_hairstyle_with_curls.png,
amy_hair_001,Curly Afro Hairpiece on Transparent Background,hair,hair,boutique,4800,10,01_hair/001_curly_afro_hairpiece_on_transparent_background.png,curly_afro_hairpiece_on_transparent_background.png,
amy_hair_002,Curly Afro Puff Hairstyle Illustration,hair,hair,boutique,5200,10,01_hair/002_curly_afro_puff_hairstyle_illustration.png,curly_afro_puff_hairstyle_illustration.png,
amy_hair_016,Curly Ponytail with Glossy Highlights,hair,hair,boutique,5200,10,01_hair/016_curly_ponytail_with_glossy_highlights.png,curly_ponytail_with_glossy_highlights.png,
amy_hair_013,Curly Top with Styled Baby Hairs,hair,hair,boutique,11800,10,01_hair/013_curly_top_with_styled_baby_hairs.png,curly_top_with_styled_baby_hairs.png,
amy_hair_010,Detailed Bantu Knot Hairstyle Illustration,hair,hair,boutique,9800,10,01_hair/010_detailed_bantu_knot_hairstyle_illustration.png,detailed_bantu_knot_hairstyle_illustration.png,
amy_hair_014,Glossy Dark Brown Side Parted Hairstyle,hair,hair,boutique,12600,10,01_hair/014_glossy_dark_brown_side_parted_hairstyle.png,glossy_dark_brown_side_parted_hairstyle.png,
amy_hair_011,Long Dark Braided Hairstyle Illustration,hair,hair,boutique,10500,10,01_hair/011_long_dark_braided_hairstyle_illustration.png,long_dark_braided_hairstyle_illustration.png,
amy_hair_004,Long Wavy Dark Brown Hairstyle,hair,hair,boutique,6200,10,01_hair/004_long_wavy_dark_brown_hairstyle.png,long_wavy_dark_brown_hairstyle.png,
amy_hair_015,Minimalist Dark Brown Hairpiece Illustration,hair,hair,boutique,4800,10,01_hair/015_minimalist_dark_brown_hairpiece_illustration.png,minimalist_dark_brown_hairpiece_illustration.png,
amy_hair_003,Natural Locs In Half Up Style,hair,hair,boutique,5600,10,01_hair/003_natural_locs_in_half_up_style.png,natural_locs_in_half_up_style.png,
amy_hair_008,Short Layered Dark Brown Hairstyle,hair,hair,boutique,8500,10,01_hair/008_short_layered_dark_brown_hairstyle.png,short_layered_dark_brown_hairstyle.png,
amy_hair_007,Sleek Dark Hairstyle on Transparent Background,hair,hair,boutique,7900,10,01_hair/007_sleek_dark_hairstyle_on_transparent_background.png,sleek_dark_hairstyle_on_transparent_background.png,
amy_hair_012,Voluminous Afro Hairstyle Illustration,hair,hair,boutique,11200,10,01_hair/012_voluminous_afro_hairstyle_illustration.png,voluminous_afro_hairstyle_illustration.png,
amy_hair_009,Voluminous Bob Hairstyle Illustration,hair,hair,boutique,9200,10,01_hair/009_voluminous_bob_hairstyle_illustration.png,voluminous_bob_hairstyle_illustration.png,
amy_hair_005,Voluminous Wavy Hairstyle Illustration,hair,hair,boutique,6800,10,01_hair/005_voluminous_wavy_hairstyle_illustration.png,voluminous_wavy_hairstyle_illustration.png,
amy_hair_006,Wavy Twin Ponytails on Transparent Background,hair,hair,boutique,7400,10,01_hair/006_wavy_twin_ponytails_on_transparent_background.png,wavy_twin_ponytails_on_transparent_background.png,
amy_earrings_006,Delicate Gold Butterfly Drop Earrings,earrings,earrings,boutique,6400,20,02_earrings/006_delicate_gold_butterfly_drop_earrings.png,delicate_gold_butterfly_drop_earrings.png,
amy_earrings_010,Elegant Gold Drop Earrings on Transparent Backgrou,earrings,earrings,boutique,9400,20,02_earrings/010_elegant_gold_drop_earrings_on_transparent_backgrou.png,elegant_gold_drop_earrings_on_transparent_backgrou.png,
amy_earrings_009,Elegant Green Teardrop Earrings,earrings,earrings,boutique,8600,20,02_earrings/009_elegant_green_teardrop_earrings.png,elegant_green_teardrop_earrings.png,
amy_earrings_008,Elegant Ruby Teardrop Earrings,earrings,earrings,boutique,7900,20,02_earrings/008_elegant_ruby_teardrop_earrings.png,elegant_ruby_teardrop_earrings.png,
amy_earrings_012,Emerald Stud Earrings on Transparent Background,earrings,earrings,boutique,3600,20,02_earrings/012_emerald_stud_earrings_on_transparent_background.png,emerald_stud_earrings_on_transparent_background.png,
amy_earrings_016,Geometric Gold & Pink Earrings,earrings,earrings,boutique,5800,20,02_earrings/016_geometric_gold_pink_earrings.png,geometric_gold_and_pink_earrings.png,
amy_earrings_015,Gold & Pink Teardrop Earrings,earrings,earrings,boutique,5200,20,02_earrings/015_gold_pink_teardrop_earrings.png,gold_and_pink_teardrop_earrings.png,
amy_earrings_011,Gold Hoop Earrings on Transparent Canvas,earrings,earrings,boutique,10200,20,02_earrings/011_gold_hoop_earrings_on_transparent_canvas.png,gold_hoop_earrings_on_transparent_canvas.png,
amy_earrings_005,Gold Hoop Earrings with Heart Pendants,earrings,earrings,boutique,6400,20,02_earrings/005_gold_hoop_earrings_with_heart_pendants.png,gold_hoop_earrings_with_heart_pendants.png,
amy_earrings_004,Golden Hoops with Pink Star Charms,earrings,earrings,boutique,5200,20,02_earrings/004_golden_hoops_with_pink_star_charms.png,golden_hoops_with_pink_star_charms.png,
amy_earrings_017,Heart Shaped Pink Earrings on Gray Background,earrings,earrings,boutique,7000,20,02_earrings/017_heart_shaped_pink_earrings_on_gray_background.png,heart_shaped_pink_earrings_on_gray_background.png,
amy_earrings_014,Jewelry Studs on a Transparent Background,earrings,earrings,boutique,4600,20,02_earrings/014_jewelry_studs_on_a_transparent_background.png,jewelry_studs_on_a_transparent_background.png,
amy_earrings_001,Minimalist Gold Hoop Earrings on Grid,earrings,earrings,boutique,3600,20,02_earrings/001_minimalist_gold_hoop_earrings_on_grid.png,minimalist_gold_hoop_earrings_on_grid.png,
